Word,Pronunciation,Alignment
indicia,IH N D IH S Y AH,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('c', 'S'), ('i', 'Y'), ('a', 'AH')]"
indict,IH N D AY T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'AY'), ('c', '#'), ('t', 'T')]"
indicted,IH N D AY T IH D,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'AY'), ('c', '#'), ('t', 'T'), ('e', 'IH'), ('d', 'D')]"
indicting,IH N D AY T IH NG,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'AY'), ('c', '#'), ('t', 'T'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
indictment,IH N D AY T M AH N T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'AY'), ('c', '#'), ('t', 'T'), ('m', 'M'), ('e', 'AH'), ('n', 'N'), ('t', 'T')]"
indie,IH N D IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', '#'), ('e', 'IY')]"
indifference,IH N D IH F ER AH N S,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('f', '#'), ('f', 'F'), ('e', 'ER'), ('r', '#'), ('e', 'AH'), ('n', 'N'), ('c', 'S'), ('e', '#')]"
indifferent,IH N D IH F R AH N T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('f', '#'), ('f', 'F'), ('e', '#'), ('r', 'R'), ('e', 'AH'), ('n', 'N'), ('t', 'T')]"
indigenous,IH N D IH JH AH N AH S,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('g', 'JH'), ('e', 'AH'), ('n', 'N'), ('o', 'AH'), ('u', '#'), ('s', 'S')]"
indigenously,IH N D IH JH AH N AH S L IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('g', 'JH'), ('e', 'AH'), ('n', 'N'), ('o', 'AH'), ('u', '#'), ('s', 'S'), ('l', 'L'), ('y', 'IY')]"
indigent,IH N D IH JH AH N T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('g', 'JH'), ('e', 'AH'), ('n', 'N'), ('t', 'T')]"
indigents,IH N D IH JH AH N T S,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('g', 'JH'), ('e', 'AH'), ('n', 'N'), ('t', 'T'), ('s', 'S')]"
indigest,IH N D AY JH EH S T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'AY'), ('g', 'JH'), ('e', 'EH'), ('s', 'S'), ('t', 'T')]"
indigestion,IH N D AY JH EH S CH AH N,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'AY'), ('g', 'JH'), ('e', 'EH'), ('s', 'S'), ('t', 'CH'), ('i', '#'), ('o', 'AH'), ('n', 'N')]"
indignant,IH N D IH G N AH N T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('g', 'G'), ('n', 'N'), ('a', 'AH'), ('n', 'N'), ('t', 'T')]"
indignantly,IH N D IH G N AH N T L IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('g', 'G'), ('n', 'N'), ('a', 'AH'), ('n', 'N'), ('t', 'T'), ('l', 'L'), ('y', 'IY')]"
indignation,IH N D IH G N EY SH AH N,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('g', 'G'), ('n', 'N'), ('$', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
indignities,IH N D IH G N AH T IY Z,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('g', 'G'), ('n', 'N'), ('i', 'AH'), ('t', 'T'), ('i', '#'), ('e', 'IY'), ('s', 'Z')]"
indignity,IH N D IH G N AH T IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('g', 'G'), ('n', 'N'), ('i', 'AH'), ('t', 'T'), ('y', 'IY')]"
indigo,IH N D AH G OW,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'AH'), ('g', 'G'), ('o', 'OW')]"
indira,IH N D IH R AH,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('r', 'R'), ('a', 'AH')]"
indirect,IH N D ER EH K T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', '#'), ('r', 'ER'), ('e', 'EH'), ('c', 'K'), ('t', 'T')]"
indirectly,IH N D ER EH K T L IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', '#'), ('r', 'ER'), ('e', 'EH'), ('c', 'K'), ('t', 'T'), ('l', 'L'), ('y', 'IY')]"
indiscreet,IH N D IH S K R IY T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('s', 'S'), ('c', 'K'), ('r', 'R'), ('e', '#'), ('e', 'IY'), ('t', 'T')]"
indiscretion,IH N D IH S K R EH SH AH N,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('s', 'S'), ('c', 'K'), ('r', 'R'), ('e', 'EH'), ('t', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N')]"
indiscriminate,IH N D IH S K R IH M AH N AH T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('s', 'S'), ('c', 'K'), ('r', 'R'), ('i', 'IH'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('a', 'AH'), ('t', 'T'), ('e', '#')]"
indiscriminately,IH N D IH S K R IH M AH N AH T L IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('s', 'S'), ('c', 'K'), ('r', 'R'), ('i', 'IH'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('a', 'AH'), ('t', 'T'), ('e', '#'), ('l', 'L'), ('y', 'IY')]"
indispensable,IH N D IH S P EH N S AH B AH L,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('s', 'S'), ('p', 'P'), ('e', 'EH'), ('n', 'N'), ('s', 'S'), ('a', 'AH'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#')]"
indispensible,IH N D IH S P EH N S IH B AH L,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('s', 'S'), ('p', 'P'), ('e', 'EH'), ('n', 'N'), ('s', 'S'), ('i', 'IH'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#')]"
indisputable,IH N D IH S P Y UW T AH B AH L,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('s', 'S'), ('p', 'P'), ('$', 'Y'), ('u', 'UW'), ('t', 'T'), ('a', 'AH'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#')]"
indisputably,IH N D IH S P Y UW T AE B L IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('s', 'S'), ('p', 'P'), ('$', 'Y'), ('u', 'UW'), ('t', 'T'), ('a', 'AE'), ('b', 'B'), ('l', 'L'), ('y', 'IY')]"
indistinct,IH N D IH S T IH NG K T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('s', 'S'), ('t', 'T'), ('i', 'IH'), ('n', 'NG'), ('c', 'K'), ('t', 'T')]"
indistinguishable,IH N D IH S T IH NG G W IH SH AH B AH L,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('s', 'S'), ('t', 'T'), ('i', 'IH'), ('n', 'NG'), ('g', 'G'), ('u', 'W'), ('i', 'IH'), ('s', 'SH'), ('h', '#'), ('a', 'AH'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#')]"
indite,IH N D AY T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'AY'), ('t', 'T'), ('e', '#')]"
indited,IH N D AY T IH D,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'AY'), ('t', 'T'), ('e', 'IH'), ('d', 'D')]"
indium,IH N D IY AH M,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IY'), ('u', 'AH'), ('m', 'M')]"
individual,IH N D AH V IH JH AH W AH L,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'AH'), ('v', 'V'), ('i', 'IH'), ('d', 'JH'), ('u', 'AH'), ('$', 'W'), ('a', 'AH'), ('l', 'L')]"
individualism,IH N D IH V IH D UW AH L IH Z AH M,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('v', 'V'), ('i', 'IH'), ('d', 'D'), ('u', 'UW'), ('a', 'AH'), ('l', 'L'), ('i', 'IH'), ('s', 'Z'), ('$', 'AH'), ('m', 'M')]"
individualist,IH N D IH V IH D UW AH L IH S T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('v', 'V'), ('i', 'IH'), ('d', 'D'), ('u', 'UW'), ('a', 'AH'), ('l', 'L'), ('i', 'IH'), ('s', 'S'), ('t', 'T')]"
individualistic,IH N D IH V IH JH UW AH L IH S T IH K,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('v', 'V'), ('i', 'IH'), ('d', 'JH'), ('u', 'UW'), ('a', 'AH'), ('l', 'L'), ('i', 'IH'), ('s', 'S'), ('t', 'T'), ('i', 'IH'), ('c', 'K')]"
individuality,IH N D IH V IH JH UW AE L IH T IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('v', 'V'), ('i', 'IH'), ('d', 'JH'), ('u', 'UW'), ('a', 'AE'), ('l', 'L'), ('i', 'IH'), ('t', 'T'), ('y', 'IY')]"
individualize,IH N D IH V IH JH UW AH L AY Z,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('v', 'V'), ('i', 'IH'), ('d', 'JH'), ('u', 'UW'), ('a', 'AH'), ('l', 'L'), ('i', 'AY'), ('z', 'Z'), ('e', '#')]"
individualized,IH N D IH V IH JH UW AH L AY Z D,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('v', 'V'), ('i', 'IH'), ('d', 'JH'), ('u', 'UW'), ('a', 'AH'), ('l', 'L'), ('i', 'AY'), ('z', 'Z'), ('e', '#'), ('d', 'D')]"
individually,IH N D IH V IH JH UW AH L IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('v', 'V'), ('i', 'IH'), ('d', 'JH'), ('u', 'UW'), ('a', 'AH'), ('l', '#'), ('l', 'L'), ('y', 'IY')]"
indivisible,IH N D IH V IH S IH B AH L,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('v', 'V'), ('i', 'IH'), ('s', 'S'), ('i', 'IH'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#')]"
indo,IH N D OW,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('o', 'OW')]"
indochina,IH N D OW CH AY N AH,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('o', 'OW'), ('c', 'CH'), ('h', '#'), ('i', 'AY'), ('n', 'N'), ('a', 'AH')]"
indochinese,IH N D OW CH AY N IY Z,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('o', 'OW'), ('c', 'CH'), ('h', '#'), ('i', 'AY'), ('n', 'N'), ('e', 'IY'), ('s', 'Z'), ('e', '#')]"
indoctrinate,IH N D AA K T R AH N EY T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('o', 'AA'), ('c', 'K'), ('t', 'T'), ('r', 'R'), ('i', 'AH'), ('n', 'N'), ('a', 'EY'), ('t', 'T'), ('e', '#')]"
indoctrinated,IH N D AA K T R AH N EY T IH D,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('o', 'AA'), ('c', 'K'), ('t', 'T'), ('r', 'R'), ('i', 'AH'), ('n', 'N'), ('a', 'EY'), ('t', 'T'), ('e', 'IH'), ('d', 'D')]"
indoctrination,IH N D AA K T R AH N EY SH AH N,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('o', 'AA'), ('c', 'K'), ('t', 'T'), ('r', 'R'), ('i', 'AH'), ('n', 'N'), ('$', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
indolent,IH N D AH L AH N T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('o', 'AH'), ('l', 'L'), ('e', 'AH'), ('n', 'N'), ('t', 'T')]"
indomitable,IH N D AA M AH T AH B AH L,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('o', 'AA'), ('m', 'M'), ('i', 'AH'), ('t', 'T'), ('a', 'AH'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#')]"
indonesia,IH N D OW N IY ZH AH,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('o', 'OW'), ('n', 'N'), ('e', 'IY'), ('s', 'ZH'), ('i', '#'), ('a', 'AH')]"
indonesian,IH N D OW N IY ZH AH N,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('o', 'OW'), ('n', 'N'), ('e', 'IY'), ('s', 'ZH'), ('i', '#'), ('a', 'AH'), ('n', 'N')]"
indoor,IH N D AO R,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('o', '#'), ('o', 'AO'), ('r', 'R')]"
indoors,IH N D AO R Z,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('o', '#'), ('o', 'AO'), ('r', 'R'), ('s', 'Z')]"
indosuez,IH N D OW S UW EY Z,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('o', 'OW'), ('s', 'S'), ('u', 'UW'), ('e', 'EY'), ('z', 'Z')]"
indovina,IH N D OW V IY N AH,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('o', 'OW'), ('v', 'V'), ('i', 'IY'), ('n', 'N'), ('a', 'AH')]"
indri,IH N D R IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('r', 'R'), ('i', 'IY')]"
indubious,IH D UW B IY AH S,"[('i', 'IH'), ('n', '#'), ('d', 'D'), ('u', 'UW'), ('b', 'B'), ('i', 'IY'), ('o', 'AH'), ('u', '#'), ('s', 'S')]"
indubiously,IH D UW B IY AH S L IY,"[('i', 'IH'), ('n', '#'), ('d', 'D'), ('u', 'UW'), ('b', 'B'), ('i', 'IY'), ('o', 'AH'), ('u', '#'), ('s', 'S'), ('l', 'L'), ('y', 'IY')]"
induce,IH N D UW S,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'UW'), ('c', 'S'), ('e', '#')]"
induced,IH N D UW S T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'UW'), ('c', 'S'), ('e', 'T'), ('d', '#')]"
inducement,IH N D UW S M AH N T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'UW'), ('c', 'S'), ('e', '#'), ('m', 'M'), ('e', 'AH'), ('n', 'N'), ('t', 'T')]"
induces,IH N D UW S IH Z,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'UW'), ('c', '#'), ('e', '#'), ('s', 'S'), ('$', 'IH'), ('$', 'Z')]"
inducing,IH N D UW S IH NG,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'UW'), ('c', 'S'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
induct,IH N D AH K T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('c', 'K'), ('t', 'T')]"
inductance,IH N D AH K T AH N S,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('c', 'K'), ('t', 'T'), ('a', 'AH'), ('n', 'N'), ('c', 'S'), ('e', '#')]"
inducted,IH N D AH K T IH D,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('c', 'K'), ('t', 'T'), ('e', 'IH'), ('d', 'D')]"
inductee,IH N D AH K T IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('c', 'K'), ('t', 'T'), ('e', '#'), ('e', 'IY')]"
induction,IH N D AH K SH AH N,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('c', 'K'), ('t', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N')]"
inductive,IH N D AH K T IH V,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('c', 'K'), ('t', 'T'), ('i', 'IH'), ('v', 'V'), ('e', '#')]"
inductor,IH N D AH K T ER,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('c', 'K'), ('t', 'T'), ('o', '#'), ('r', 'ER')]"
indulge,IH N D AH L JH,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('l', 'L'), ('g', 'JH'), ('e', '#')]"
indulged,IH N D AH L JH D,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('l', 'L'), ('g', 'JH'), ('e', '#'), ('d', 'D')]"
indulgence,IH N D AH L JH AH N S,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('l', 'L'), ('g', 'JH'), ('e', 'AH'), ('n', 'N'), ('c', 'S'), ('e', '#')]"
indulgent,IH N D AH L JH AH N T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('l', 'L'), ('g', 'JH'), ('e', 'AH'), ('n', 'N'), ('t', 'T')]"
indulges,IH N D AH L JH IH Z,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('l', 'L'), ('g', 'JH'), ('e', 'IH'), ('s', 'Z')]"
indulging,IH N D AH L JH IH NG,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('l', 'L'), ('g', 'JH'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
indus,IH N D AH S,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S')]"
industri,IH N D AH S T R IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY')]"
industria,IH N D AH S T R IY AH,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY'), ('a', 'AH')]"
industrial,IH N D AH S T R IY AH L,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY'), ('a', 'AH'), ('l', 'L')]"
industriale,IH N D AH S T R IY AA L IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY'), ('a', 'AA'), ('l', 'L'), ('e', 'IY')]"
industriali,IH N D AH S T R IY AA L IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY'), ('a', 'AA'), ('l', 'L'), ('i', 'IY')]"
industrialist,IH N D AH S T R IY AH L IH S T,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY'), ('a', 'AH'), ('l', 'L'), ('i', 'IH'), ('s', 'S'), ('t', 'T')]"
industrialization,IH N D AH S T R IY AH L IH Z EY SH AH N,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY'), ('a', 'AH'), ('l', 'L'), ('i', 'IH'), ('z', 'Z'), ('$', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
industrialize,IH N D AH S T R IY AH L AY Z,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY'), ('a', 'AH'), ('l', 'L'), ('i', 'AY'), ('z', 'Z'), ('e', '#')]"
industrialized,IH N D AH S T R IY AH L AY Z D,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY'), ('a', 'AH'), ('l', 'L'), ('i', 'AY'), ('z', 'Z'), ('e', '#'), ('d', 'D')]"
industrializing,IH N D AH S T R IY AH L AY Z IH NG,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY'), ('a', 'AH'), ('l', 'L'), ('i', 'AY'), ('z', 'Z'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
industrially,IH N D AH S T R IY AH L IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY'), ('a', 'AH'), ('l', '#'), ('l', 'L'), ('y', 'IY')]"
industrials,IH N D AH S T R IY AH L Z,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY'), ('a', 'AH'), ('l', 'L'), ('s', 'Z')]"
industrie,IH N D AH S T R IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', '#'), ('e', 'IY')]"
industrielle,IH N D AH S T R IY EH L,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY'), ('e', 'EH'), ('l', '#'), ('l', 'L'), ('e', '#')]"
industrier,IH N D AH S T R IY ER,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY'), ('e', 'ER'), ('r', '#')]"
industries,IH N D AH S T R IY Z,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', '#'), ('e', 'IY'), ('s', 'Z')]"
industrious,IH N D AH S T R IY AH S,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY'), ('o', 'AH'), ('u', '#'), ('s', 'S')]"
industrivaerden,IH N D AH S T R IY V EH R D AH N,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('i', 'IY'), ('v', 'V'), ('a', '#'), ('e', 'EH'), ('r', 'R'), ('d', 'D'), ('e', 'AH'), ('n', 'N')]"
industry,IH N D AH S T R IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('y', 'IY')]"
industrywide,IH N D AH S T R IY W AY D,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('u', 'AH'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('y', 'IY'), ('w', 'W'), ('i', 'AY'), ('d', 'D'), ('e', '#')]"
indy,IH N D IY,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('y', 'IY')]"
indyk,IH N D IH K,"[('i', 'IH'), ('n', 'N'), ('d', 'D'), ('y', 'IH'), ('k', 'K')]"
inebriate,IH N EH B R IY EY T,"[('i', 'IH'), ('n', 'N'), ('e', 'EH'), ('b', 'B'), ('r', 'R'), ('i', 'IY'), ('a', 'EY'), ('t', 'T'), ('e', '#')]"
inebriated,IH N EH B R IY EY T AH D,"[('i', 'IH'), ('n', 'N'), ('e', 'EH'), ('b', 'B'), ('r', 'R'), ('i', 'IY'), ('a', 'EY'), ('t', 'T'), ('e', 'AH'), ('d', 'D')]"
inebriating,IH N EH B R IY EY T IH NG,"[('i', 'IH'), ('n', 'N'), ('e', 'EH'), ('b', 'B'), ('r', 'R'), ('i', 'IY'), ('a', 'EY'), ('t', 'T'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
inedible,IH N EH D AH B AH L,"[('i', 'IH'), ('n', 'N'), ('e', 'EH'), ('d', 'D'), ('i', 'AH'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#')]"
ineffable,IH N EH F AH B AH L,"[('i', 'IH'), ('n', 'N'), ('e', 'EH'), ('f', '#'), ('f', 'F'), ('a', 'AH'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#')]"
ineffective,IH N IH F EH K T IH V,"[('i', 'IH'), ('n', 'N'), ('e', 'IH'), ('f', '#'), ('f', 'F'), ('e', 'EH'), ('c', 'K'), ('t', 'T'), ('i', 'IH'), ('v', 'V'), ('e', '#')]"
ineffectiveness,IH N AH F EH K T IH V N AH S,"[('i', 'IH'), ('n', 'N'), ('e', 'AH'), ('f', '#'), ('f', 'F'), ('e', 'EH'), ('c', 'K'), ('t', 'T'), ('i', 'IH'), ('v', 'V'), ('e', '#'), ('n', 'N'), ('e', 'AH'), ('s', '#'), ('s', 'S')]"
ineffectual,IH N AH F EH K CH UW AH L,"[('i', 'IH'), ('n', 'N'), ('e', 'AH'), ('f', '#'), ('f', 'F'), ('e', 'EH'), ('c', 'K'), ('t', 'CH'), ('u', 'UW'), ('a', 'AH'), ('l', 'L')]"
inefficiencies,IH N IH F IH SH AH N S IY Z,"[('i', 'IH'), ('n', 'N'), ('e', '#'), ('f', '#'), ('f', '#'), ('i', 'IH'), ('c', 'F'), ('i', 'IH'), ('$', 'SH'), ('e', 'AH'), ('n', 'N'), ('c', '#'), ('i', '#'), ('e', '#'), ('s', 'S'), ('$', 'IY'), ('$', 'Z')]"
inefficiency,IH N IH F IH SH AH N S IY,"[('i', 'IH'), ('n', 'N'), ('e', '#'), ('f', '#'), ('f', '#'), ('i', 'IH'), ('c', 'F'), ('i', 'IH'), ('$', 'SH'), ('e', 'AH'), ('n', 'N'), ('c', 'S'), ('y', 'IY')]"
inefficient,IH N IH F IH SH AH N T,"[('i', 'IH'), ('n', 'N'), ('e', '#'), ('f', '#'), ('f', '#'), ('i', 'IH'), ('c', 'F'), ('i', 'IH'), ('$', 'SH'), ('e', 'AH'), ('n', 'N'), ('t', 'T')]"
inefficiently,IH N IH F IH SH AH N T L IY,"[('i', 'IH'), ('n', 'N'), ('e', '#'), ('f', '#'), ('f', '#'), ('i', 'IH'), ('c', 'F'), ('i', 'IH'), ('$', 'SH'), ('e', 'AH'), ('n', 'N'), ('t', 'T'), ('l', 'L'), ('y', 'IY')]"
inelastic,IH N AH L AE S T IH K,"[('i', 'IH'), ('n', 'N'), ('e', 'AH'), ('l', 'L'), ('a', 'AE'), ('s', 'S'), ('t', 'T'), ('i', 'IH'), ('c', 'K')]"
ineligible,IH N EH L IH JH AH B AH L,"[('i', 'IH'), ('n', 'N'), ('e', 'EH'), ('l', 'L'), ('i', 'IH'), ('g', 'JH'), ('i', 'AH'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#')]"
ineluctible,IH N AH L AH K T AH B AH L,"[('i', 'IH'), ('n', 'N'), ('e', 'AH'), ('l', 'L'), ('u', 'AH'), ('c', 'K'), ('t', 'T'), ('i', 'AH'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#')]"
inept,IH N EH P T,"[('i', 'IH'), ('n', 'N'), ('e', 'EH'), ('p', 'P'), ('t', 'T')]"
